Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
0,0.57143,0.28571,0.64286,0,0.10714,0,0,0.57143,0.42857,0.96429
0,0.14286,1,0,0,0.64286,0,0,1,1,0.14286
0,0,0.28571,0,0,0.32143,0,0,1,0.5,0.071429
0,0.5,0.28571,0,0,0.28571,0,0,1,0.35714,0
0,0.57143,0.85714,0,0.35714,0.14286,0.57143,0,0.5,1,0
0,0.21429,1,0,0.5,0.10714,0.57143,0,0.35714,1,0
0,0,1,0.071429,0,0,1,0,1,1,0.42857
0.28571,0.28571,1,0.28571,0,0.78571,1,0,0.071429,0,0
0,0.42857,0.78571,0.5,0.57143,1,0.5,0.78571,1,0.35714,0.42857
0,1,1,0,1,1,0.21429,1,0.21429,0,0
0,1,0,0,0.71429,1,0.035714,0.71429,0.64286,0.035714,0.85714
0.85714,1,0.21429,0,0.78571,0.42857,0.35714,1,0.21429,0.14286,0
1,1,0.21429,0,1,0,0.42857,0.46429,0,0.39286,0.25
0,0.14286,0.14286,0.21429,0.78571,0.57143,0.64286,0.5,0,0,0.85714
0,1,0,1,0.10714,0.034483,1,1,0,0,1
0,1,0.85714,0.57143,1,0.68966,1,0.75862,0.44828,0,0.96429
0,1,0.27586,1,0.75862,1,1,0.27586,0.7931,0,1
0,1,0.41379,0.44828,0,0.7931,0.31034,0.72414,0,0,0.7931
0,0.31034,0.55172,0.44828,0,1,0.034483,0.37931,0.44828,0,1
0.37931,1,0.13793,1,0.48276,1,0.72414,1,0.86207,0,1
0.58621,1,0,0.86207,0,0.51724,0,0.65517,0.068966,0,1
0.44828,0,0,0.58621,0,0.44828,0.89655,0.72414,0.2069,0.24138,1
0.82759,0,0,0.68966,0.72414,0.55172,1,0.13793,1,1,1
0.58621,0,0,1,1,0.068966,0.62069,0.13793,1,1,1
0.65517,0.7931,0,0.68966,0.72414,0.62069,1,0.68966,1,1,1
1,1,0,1,1,0.33333,0.73333,0.41379,0.86207,0.86667,0.73333
0.86207,1,0.7931,0,0.86207,1,1,0.6,0,1,1
1,0.46667,0.7,1,0.86667,1,0.8,0,0.033333,1,0.33333
0.6,1,0.4,1,1,1,0.46667,0.93333,0.63333,0.33333,0.93333
1,0.23333,1,0,1,0.66667,0.26667,1,1,0.23333,1
0.86667,0.46667,1,0.8,1,0.46667,0.9,0.13333,0.96667,1,0.4
1,1,0.53333,0.86667,0.46667,0,0.6,0.73333,0.066667,0,0
1,0.66667,0,0,0.73333,1,0,1,0.33333,1,0.77419
1,0,0,0,0.33333,1,0,0.80645,0.4,1,1
1,0,0,1,0.86667,1,0,0,1,0,1
0.54839,0,0,0.87097,0.35484,1,0,0,0.51613,1,1
1,0,0,1,0.48387,0,1,0.87097,0.41935,1,0.32258
1,0.32258,0,0.93548,1,0,0.35484,0.93548,0.64516,1,1
1,1,0,0.93548,0,0,0.87097,1,0.45161,0.87097,0.87097
0,1,0,0,1,0,0,0.19355,0.41935,1,1
1,1,0,0,0.41935,0,0.48387,0,0,1,0.64516
1,0.21875,0,0,0.22581,0.875,0,0,0,0.625,0
1,0.625,0.5625,0,0.375,0.4375,1,0,1,0.25,0.125
0.5,0.125,0,0.90625,0.375,0.875,0,0,1,0.375,0
0,1,0,1,0.5,0.5,0,0.125,1,0.125,0
0.5,0.59375,0,0.40625,0.75,1,0,0.5625,0,0.3125,0.125
0,0.78125,0,0,0.21875,0,0,0.78125,1,0.375,1
0,0.28125,1,0,0.625,1,0.5625,0.75,1,0.8125,1
0,0,0.59375,0,0.625,0.33333,0.030303,1,0.87879,0,0
0,0.57576,1,0,0.75758,0,0,0.87879,0.63636,0.15152,0.90909
0,1,0,0.12121,0.12121,0.15152,0.63636,0.18182,0.90909,0.51515,0.12121
0,0.75758,0,0.63636,0.81818,1,0.93939,0.69697,0.12121,0,0.48485
0,0,0,1,1,0.9697,0.060606,0.87879,1,0,0
0.66667,0,0,1,0,1,0.72727,0.48485,0.24242,0.24242,0
0,0,0,0.60606,0.21212,1,0.47059,1,0,0.11765,0
0.72727,0,0.24242,0.060606,0.87879,1,1,1,0,0.82353,0.029412
0.76471,0,0,0.29412,0.029412,1,0.20588,0,0,0.29412,0.29412
0,0,0.47059,1,0,0.82353,1,1,0.47059,0.41176,0.79412
0,0,1,0.91176,0.35294,1,0.94118,1,0.61765,0,0
0,0.17647,1,0.23529,0.058824,1,0.5,0.70588,0.47059,0,0
0.11765,0.17647,0.70588,0.35294,0.41176,0.55882,0.94118,0,1,0,0
1,0.61765,0.52941,1,0.61765,0,1,0.29412,1,0,0
0.76471,1,0.17647,0.52941,0.29412,0,1,1,0.085714,0.51429,0
0,0.65714,0,0.22857,0.31429,0.65714,0.37143,0.51429,0.42857,0,0
